genus	evidence_category	primary_q_value	reasons
Paucibacter	METHOD_SENSITIVE	0.1251350306968701	primary_q=0.125135; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.875; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Streptomyces	METHOD_SENSITIVE	0.0010075155038759972	primary_q=0.00100752; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Collimonas	METHOD_SENSITIVE	0.42076441464328906	primary_q=0.420764; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Bacillus	METHOD_SENSITIVE	0.22698672715284737	primary_q=0.226987; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Polaromonas	METHOD_SENSITIVE	0.729988955063713	primary_q=0.729989; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Ochrobactrum	ROBUST_ASSOCIATION	0.038932025385012434	primary_q=0.038932; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Fusarium	METHOD_SENSITIVE	0.022786557530648944	primary_q=0.0227866; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.875; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Serratia	NO_SUPPORTED_ASSOCIATION	0.12998225181044593	primary_q=0.129982; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
Candidatus Accumulibacter	METHOD_SENSITIVE	0.9455680917214364	primary_q=0.945568; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.778; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Methylibium	METHOD_SENSITIVE	0.04016884356972097	primary_q=0.0401688; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
