patient_id	major_cell_class	n_cells	marker_mean_acinar	marker_mean_b_cell	marker_mean_endocrine	marker_mean_endothelial	marker_mean_fibroblast_caf	marker_mean_malignant_or_ductal	marker_mean_mast	marker_mean_myeloid	marker_mean_nk_cell	marker_mean_t_cell
T13	nonmalignant_epithelial	685	98.03722627737227	0.19489051094890514	17.672992700729925	0.33041362530413626	0.45377128953771284	2.657977059436913	0.01897810218978102	0.6718248175182481	0.2956204379562044	0.15583941605839416
T14	B_cell	2	0.0	3.125	0.75	0.0	0.08333333333333333	1.2857142857142858	0.0	0.2	0.0	0.0
T14	T_cell	10	0.025	0.175	0.775	0.03333333333333333	0.11666666666666665	2.442857142857143	11.200000000000001	0.9	4.35	2.7249999999999996
T14	endothelial	81	0.11728395061728394	0.09876543209876543	0.6635802469135803	11.979423868312756	0.16049382716049382	4.396825396825396	0.0	0.7703703703703704	0.10185185185185185	0.043209876543209874
T14	fibroblast_caf	154	0.08928571428571429	0.016233766233766236	0.5633116883116883	0.051948051948051945	16.507575757575754	2.9230055658627085	0.004329004329004329	0.5077922077922078	0.00974025974025974	0.040584415584415584
T14	malignant_epithelial	1696	1.4355837264150944	0.010170990566037735	1.7209610849056602	0.15172955974842767	0.2275943396226415	33.2179076819407	0.007861635220125786	6.790448113207548	0.016067216981132074	0.011939858490566037
T14	myeloid	50	0.075	0.01	0.615	0.08	0.14666666666666667	3.8200000000000003	0.006666666666666667	10.292	0.02	0.22499999999999998
T14	nonmalignant_epithelial	5	0.45	0.0	796.3	0.26666666666666666	0.5666666666666668	10.628571428571428	0.0	1.6	0.0	0.05
T15	B_cell	157	0.7882165605095541	4.818471337579618	4.019108280254778	0.20594479830148618	0.870488322717622	0.16833484986351227	0.0021231422505307855	0.2050955414012739	0.03980891719745223	0.0589171974522293
T15	T_cell	136	1.4834558823529411	1.0147058823529411	4.073529411764706	0.14950980392156862	0.9313725490196078	0.18277310924369747	0.00980392156862745	0.3088235294117647	0.6544117647058824	1.8363970588235294
T15	endothelial	303	1.4612211221122113	0.3787128712871287	8.397689768976898	12.792079207920793	2.0709570957095713	0.3422913719943423	0.0385038503850385	0.3900990099009901	0.14356435643564358	0.13861386138613863
T15	fibroblast_caf	908	1.2409140969162997	0.20814977973568283	6.433645374449339	0.276431718061674	35.55084434654919	0.29342353681560734	0.0036710719530102793	0.44977973568281937	0.09691629955947137	0.17593612334801761
T15	malignant_epithelial	123	4.729674796747967	0.3130081300813008	13.784552845528456	0.6531165311653117	2.868563685636856	17.810685249709643	0.005420054200542006	15.177235772357722	0.1565040650406504	0.1991869918699187
T15	myeloid	93	3.287634408602151	0.239247311827957	10.63978494623656	0.2186379928315412	1.121863799283154	0.24423963133640553	0.003584229390681004	11.976344086021506	0.15053763440860216	0.5026881720430108
T15	nonmalignant_epithelial	236	123.27118644067797	0.4438559322033898	82.6959745762712	0.3855932203389831	1.6673728813559323	2.9043583535108963	0.029661016949152543	1.0152542372881357	0.11122881355932204	0.17690677966101695
T16	B_cell	11	1.75	8.568181818181818	2.8636363636363638	0.12121212121212122	1.909090909090909	0.3246753246753246	0.0	0.47272727272727266	0.1590909090909091	0.09090909090909091
T16	T_cell	45	1.85	5.372222222222223	3.438888888888889	0.25925925925925924	2.237037037037037	0.3238095238095238	0.35555555555555557	0.5644444444444444	0.9222222222222223	1.0611111111111111
