genus	primary_retained	prevalence	mean_abundance	median_abundance	zero_fraction	contamination_risk_category	evidence_source	included_in_primary	included_in_sensitivity	notes
Diaphorobacter	True	0.6129032258064516	68.90075555985887	58.6624490129537	0.3870967741935484	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Fusobacterium	True	0.3709677419354839	660.0361359776384	0.0	0.6290322580645161	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Sphingobacterium	True	0.3387096774193548	4.703090785166719	0.0	0.6612903225806451	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Alicycliphilus	True	0.967741935483871	262.47000707217455	230.305624466729	0.03225806451612903	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Devosia	True	0.8064516129032258	20.315564538687898	15.6894778932662	0.1935483870967742	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Ottowia	True	0.3225806451612903	5.07826972071758	0.0	0.6774193548387096	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Thauera	True	0.9354838709677419	103.05088662672775	90.5345243651127	0.06451612903225806	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Phreatobacter	True	0.25806451612903225	3.1993992841897163	0.0	0.7419354838709677	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Dickeya	True	0.7419354838709677	63.35087433420222	12.00400700881495	0.25806451612903225	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Rhizobium	True	1.0	453.44885500229486	383.03299295612646	0.0	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Sinorhizobium	True	0.8709677419354839	145.4870098171936	144.2639481469665	0.12903225806451613	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
