gene	row_index_1based	missing_count	missing_proportion	nonmissing_count	mean_expression_skipna	median_expression_skipna	detected_sample_count_gt0_skipna	all_zero_among_observed	literal_NA	blank_field	parse_failure	missing_pattern
LINC00540	24204	0	0.0	62	31.581416556325475	10.96581944752565	59	False	0	0	0	complete
LINC00543	24205	0	0.0	62	57.81348280340066	49.473057620132096	58	False	0	0	0	complete
LINC00544	24206	0	0.0	62	9.174996033054063	3.78447972574081	56	False	0	0	0	complete
LINC00545	24207	0	0.0	62	1.1781786679911488	0.0	27	False	0	0	0	complete
LINC00551	24208	0	0.0	62	1.9443636384839171	0.9556239623616021	42	False	0	0	0	complete
LINC00552	24209	0	0.0	62	1.1595382188765515	0.0	28	False	0	0	0	complete
LINC00559	24210	0	0.0	62	1.583673179692629	0.0	26	False	0	0	0	complete
LINC00561	24211	0	0.0	62	1.4658605360495718	0.8624547258186079	36	False	0	0	0	complete
LINC00562	24212	0	0.0	62	17.64726768183293	14.462262947809549	62	False	0	0	0	complete
LINC00563	24213	0	0.0	62	7.607000993648622	3.64470364709137	46	False	0	0	0	complete
LINC00565	24214	0	0.0	62	23.651326920275373	19.42185172092595	62	False	0	0	0	complete
LINC00567	24215	0	0.0	62	1.82822163194724	0.919121971238888	42	False	0	0	0	complete
LINC00570	24216	0	0.0	62	2.681248713140492	1.958942174652575	50	False	0	0	0	complete
LINC00571	24217	0	0.0	62	88.02593642578886	80.88007145917996	62	False	0	0	0	complete
LINC00574	24218	0	0.0	62	9.476275735137007	7.97817619277351	59	False	0	0	0	complete
LINC00578	24219	0	0.0	62	147.30744989848253	109.6528629767405	62	False	0	0	0	complete
LINC00582	24220	0	0.0	62	9.488070603283417	6.64034551108809	60	False	0	0	0	complete
LINC00589	24221	0	0.0	62	31.41138460847964	12.235734036729252	59	False	0	0	0	complete
LINC00592	24222	0	0.0	62	6.356318548838645	2.198539771017435	54	False	0	0	0	complete
LINC00595	24223	0	0.0	62	10.031861093254191	8.305081659705735	62	False	0	0	0	complete
