taxon	host_feature	host_feature_collection	coefficient	p_value	bh_q_value	supported_nominal	TRANSFORMATION_SENSITIVE_MECHANISM	composition_sensitive	sample_sensitive	evidence_category	criteria
Azoarcus	SPI1	DoRothEA_VIPER	0.864292232151831	0.000329865140840909	0.0127901678273119	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.0003299; primary_q=0.01279; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SPIB	DoRothEA_VIPER	0.241183748858654	0.0139775552235236	0.056945595355096	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.01398; primary_q=0.05695; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SREBF1	DoRothEA_VIPER	-0.0368771700364406	0.444563708197504	0.589180818093078	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.4446; primary_q=0.5892; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SREBF2	DoRothEA_VIPER	-0.02611907101768	0.57798480280371	0.718399189925515	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.578; primary_q=0.7184; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	STAT1	DoRothEA_VIPER	0.234249284780849	0.00825941898805986	0.038661110156876	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.008259; primary_q=0.03866; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	STAT2	DoRothEA_VIPER	0.025367692322465	0.839795652058069	0.885579687300749	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.8398; primary_q=0.8856; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	STAT3	DoRothEA_VIPER	0.279920936652979	0.062639978246376	0.146604204406412	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.06264; primary_q=0.1466; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	STAT5A	DoRothEA_VIPER	0.529712082082428	0.000662024373067373	0.0127901678273119	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.000662; primary_q=0.01279; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	STAT5B	DoRothEA_VIPER	0.355550094852681	0.000686846742448755	0.0127901678273119	TRUE	TRUE	FALSE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.0006868; primary_q=0.01279; transformation_sensitive=TRUE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	TAL1	DoRothEA_VIPER	0.0619005064795248	0.061021073290739	0.145919957869159	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.06102; primary_q=0.1459; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	TBP	DoRothEA_VIPER	-0.0387640894107636	0.30615128254123	0.440217530451442	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.3062; primary_q=0.4402; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	TBX21	DoRothEA_VIPER	0.445137925461888	0.00582128255738876	0.0324456852515549	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.005821; primary_q=0.03245; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	TCF12	DoRothEA_VIPER	-0.0345397030583682	0.787395821417358	0.860073478017252	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.7874; primary_q=0.8601; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	TCF3	DoRothEA_VIPER	0.0183282902170388	0.775929041783575	0.860073478017252	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.7759; primary_q=0.8601; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	TCF4	DoRothEA_VIPER	-0.0332366908616814	0.761320165365311	0.850205260814053	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.7613; primary_q=0.8502; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	TCF7	DoRothEA_VIPER	0.329970287181722	0.00213645554602302	0.0204356617445681	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.002136; primary_q=0.02044; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	TCF7L2	DoRothEA_VIPER	0.0616924656867726	0.21454154066389	0.330063908713678	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.2145; primary_q=0.3301; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
