taxon	total_abundance	mean_abundance	median_abundance	max_abundance	prevalence_count	prevalence_fraction	zero_fraction
Microvirgula	2.31309354093505	0.037307960337662094	0.0	2.31309354093505	1	0.016129032258064516	0.9838709677419355
Rubrobacter	19.41809995670596	0.3131951605920316	0.0	13.1021874572389	2	0.03225806451612903	0.967741935483871
Roseolovirus	919.5795916368731	14.831928897368922	0.0	246.91203373441	17	0.27419354838709675	0.7258064516129032
Kytococcus	401.51745235766845	6.476087941252717	0.0	125.592761490954	12	0.1935483870967742	0.8064516129032258
Janibacter	617.2931939224538	9.956341837458933	0.0	121.19523397946	17	0.27419354838709675	0.7258064516129032
Lactobacillus	2315.5420132307318	37.34745182630213	0.0	1867.09579919046	19	0.3064516129032258	0.6935483870967742
Acinetobacter	537798.9517685235	8674.176641427799	6929.339372691995	21139.4435917223	62	1.0	0.0
Janthinobacterium	154.33919441456064	2.4893418453961393	0.0	27.8508613664254	14	0.22580645161290322	0.7741935483870968
Acidithiobacillus	7.57620299909397	0.12219682256603177	0.0	7.57620299909397	1	0.016129032258064516	0.9838709677419355
Paracoccus	3285.4481093862264	52.99109853848752	47.66147314238935	294.331282521545	46	0.7419354838709677	0.25806451612903225
Delftia	987564.2839918566	15928.456193417042	613.3646047405659	526366.666170989	62	1.0	0.0
Morganella	109.11164297166141	1.7598652092203453	0.0	73.1085110868667	4	0.06451612903225806	0.9354838709677419
Herminiimonas	0.0	0.0	0.0	0.0	0	0.0	1.0
Calothrix	1354.0446841851876	21.83943039008367	0.0	957.980883278848	8	0.12903225806451613	0.8709677419354839
Sphingorhabdus	336.67227444307116	5.4301979748882445	0.0	21.4669042501851	28	0.45161290322580644	0.5483870967741935
Klebsiella	26928.739451930236	434.33450728919735	315.022920948976	1437.66064192196	62	1.0	0.0
Brachybacterium	282.66557723989195	4.559122213546645	0.0	67.3062483021948	17	0.27419354838709675	0.7258064516129032
Herbaspirillum	545.5880517159192	8.799807285740632	0.0	113.70826971818	27	0.43548387096774194	0.5645161290322581
Modestobacter	15.6192230125501	0.2519229518153242	0.0	15.6192230125501	1	0.016129032258064516	0.9838709677419355
Gammaretrovirus	39.2088654988107	0.6324010564324307	0.0	39.2088654988107	1	0.016129032258064516	0.9838709677419355
Melaminivora	1303.8535486855562	21.02989594654123	21.10528704097205	55.2163614269352	49	0.7903225806451613	0.20967741935483872
Serinicoccus	0.0	0.0	0.0	0.0	0	0.0	1.0
Plantibacter	34.3143225372579	0.5534568151170629	0.0	34.3143225372579	1	0.016129032258064516	0.9838709677419355
Amycolatopsis	0.0	0.0	0.0	0.0	0	0.0	1.0
Chondrocystis	4.20821171283482	0.06787438246507774	0.0	4.20821171283482	1	0.016129032258064516	0.9838709677419355
Brenneria	0.0	0.0	0.0	0.0	0	0.0	1.0
