patient_id	major_cell_class	n_cells	median_library_size	median_detected_genes	median_mitochondrial_fraction	dataset_id
T7	myeloid	29	5688.0	1911.0	0.06094213242560668	PENG_CRA001160
T7	nonmalignant_epithelial	264	7091.0	2638.0	0.07015801268640293	PENG_CRA001160
T8	B_cell	13	5765.0	1691.0	0.03493952774044922	PENG_CRA001160
T8	T_cell	56	6600.0	2240.5	0.029093654815160318	PENG_CRA001160
T8	endothelial	21	6364.0	2310.0	0.0441153546375682	PENG_CRA001160
T8	fibroblast_caf	47	7805.0	2678.0	0.03329856374869614	PENG_CRA001160
T8	malignant_epithelial	469	13895.0	3730.0	0.050395045910740975	PENG_CRA001160
T8	myeloid	84	7466.0	2382.0	0.03606321171034589	PENG_CRA001160
T8	nonmalignant_epithelial	7	7871.0	2746.0	0.07173030056864338	PENG_CRA001160
T9	T_cell	15	6020.0	2048.0	0.029235880398671095	PENG_CRA001160
T9	endothelial	5	5584.0	2369.0	0.04213752154759624	PENG_CRA001160
T9	fibroblast_caf	725	8358.0	2561.0	0.02575924626641275	PENG_CRA001160
T9	malignant_epithelial	1400	9638.5	2980.0	0.02587466582121795	PENG_CRA001160
T9	myeloid	138	6105.0	1945.5	0.03373058245122331	PENG_CRA001160
T9	nonmalignant_epithelial	71	8466.0	2710.0	0.05326398852223816	PENG_CRA001160
