TF	regulon_version	confidence_levels	targets_expected	targets_observed	target_coverage_fraction	retained	activity_score_direction
SMAD3	1.22.0	A;B;C	33	32	0.96969696969697	TRUE	VIPER_NES_positive_or_negative_TF_activity
SMAD4	1.22.0	A;B;C	27	25	0.925925925925926	TRUE	VIPER_NES_positive_or_negative_TF_activity
SMAD5	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
SNAI2	1.22.0	A;B;C	66	66	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SNAPC4	1.22.0	A;B;C	30	30	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SOX10	1.22.0	A;B;C	16	16	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SOX11	1.22.0	A;B;C	29	29	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SOX13	1.22.0	A;B;C	42	42	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SOX2	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
SOX6	1.22.0	A;B;C	32	29	0.90625	TRUE	VIPER_NES_positive_or_negative_TF_activity
SOX9	1.22.0	A;B;C	13	12	0.923076923076923	FALSE	VIPER_NES_positive_or_negative_TF_activity
SP1	1.22.0	A;B;C	321	316	0.984423676012461	TRUE	VIPER_NES_positive_or_negative_TF_activity
SP2	1.22.0	A;B;C	22	22	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SP3	1.22.0	A;B;C	77	76	0.987012987012987	TRUE	VIPER_NES_positive_or_negative_TF_activity
SP4	1.22.0	A;B;C	60	59	0.983333333333333	TRUE	VIPER_NES_positive_or_negative_TF_activity
SPI1	1.22.0	A;B;C	102	102	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SPIB	1.22.0	A;B;C	61	60	0.983606557377049	TRUE	VIPER_NES_positive_or_negative_TF_activity
SREBF1	1.22.0	A;B;C	23	23	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SREBF2	1.22.0	A;B;C	16	16	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SRF	1.22.0	A;B;C	10	10	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
