feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
MNT	externally replicated TF	malignant_epithelial_fraction	35	-0.651245309518774	-1.08104962709571	-0.221440991941837	0.00551814202512353	HC3_OLS; residual_sd=0.3233	0.0220725681004941	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MXI1	externally replicated TF	malignant_epithelial_fraction	35	0.180453261521036	-0.156329881183332	0.517236404225404	0.301258261905229	HC3_OLS; residual_sd=0.2456	0.516442734694679	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
SNAI2	externally replicated TF	malignant_epithelial_fraction	35	-0.705683488868783	-1.22276488432027	-0.188602093417296	0.0115400483991265	HC3_OLS; residual_sd=0.3411	0.0346201451973795	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
TFAP4	externally replicated TF	malignant_epithelial_fraction	35	-0.100800658265406	-0.4995461205584	0.297944804027587	0.623546833505513	HC3_OLS; residual_sd=0.3092	0.648820139380477	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
TP63	externally replicated TF	malignant_epithelial_fraction	35	0.735050621830443	0.369309536433052	1.10079170722783	0.000399791575542569	HC3_OLS; residual_sd=0.2821	0.00239874945325541	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
ZBTB7A	externally replicated TF	malignant_epithelial_fraction	35	-0.307129231416969	-1.08730850696485	0.473050044130909	0.445851550239103	HC3_OLS; residual_sd=0.5037	0.535021860286924	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZNF24	externally replicated TF	malignant_epithelial_fraction	35	-0.743560222246794	-1.00312127031037	-0.48399917418322	3.0035186137663e-06	HC3_OLS; residual_sd=0.2034	3.60422233651956e-05	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
BHLHE40	partially replicated TF	malignant_epithelial_fraction	35	-0.867230915230442	-1.49281369833094	-0.241648132129948	0.01040632686266	HC3_OLS; residual_sd=0.4255	0.0421722764472653	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
E2F6	partially replicated TF	malignant_epithelial_fraction	35	-0.407516987197271	-0.722119564375956	-0.0929144100185864	0.0160199014832248	HC3_OLS; residual_sd=0.2625	0.0421722764472653	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
ELF1	partially replicated TF	malignant_epithelial_fraction	35	0.192130309100841	-0.134193769727912	0.518454387929595	0.256792706110515	HC3_OLS; residual_sd=0.2447	0.370922797715189	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
