Package	Version	LibPath	Priority
sparseMatrixStats	1.22.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
spatial	7.3-18	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
splines	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
statmod	1.5.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
stats	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
stats4	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
stringi	1.8.7	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
stringr	1.6.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
SummarizedExperiment	1.40.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
survival	3.8-6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
sys	3.4.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
systemfonts	1.3.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tcltk	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
testthat	3.3.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
textshaping	1.0.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tibble	3.3.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tidydr	0.0.6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tidyr	1.3.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tidyselect	1.2.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tidytree	0.4.7	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tidyverse	2.0.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
timechange	0.4.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tinytex	0.59	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tools	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
treeio	1.34.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tweenr	2.0.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
tzdb	0.5.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
UpSetR	1.4.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
urlchecker	1.0.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
usethis	3.2.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
utf8	1.2.6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
utils	4.5.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	base
uuid	1.2-2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
vctrs	0.7.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
viridisLite	0.4.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
vroom	1.7.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
waldo	0.6.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
whisker	0.4.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
withr	3.0.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
